branch,parameter,q2.5,q16,q50,q84,q97.5
constant,F0,0.4261013585306602,0.6552302254737046,1.1106036476735128,2.030551012871968,3.8321491149393623
constant,alpha,-2.8007824242088573,-2.0208094531889125,-1.148994408791174,-0.17723683158500472,0.8938850772649718
constant,beta,-1.4164701655180407,-1.1381125665022018,-0.8333935277509106,-0.5082969053091141,-0.1676537143077913
constant,gamma,-5.907408439421278,-4.349846574362777,-2.740454491393911,-1.121322693998131,0.47962999087776464
zero,F0,0.5229171109720335,0.8731598974731561,1.617439394638246,3.2258367817177986,6.648019569509247
zero,alpha,-2.9067039986551686,-2.131054640435228,-1.2640654976348944,-0.3046473969551842,0.7399997662607146
zero,beta,-1.867017199403742,-1.5319088977729924,-1.1781005563663265,-0.8038189540664368,-0.40756479294359577
zero,gamma,-5.089180468408484,-3.3039252423919065,-1.490900426886246,0.3634938519751605,2.235571145451023
